product_id,product_name,cost_price,brand,rating,supplier
5053,Product_52,225,BrandD,3.2,Local
5054,Product_53,215,BrandD,4.8,Imported
5055,Product_54,419,BrandD,4.1,Local
5056,Product_55,103,BrandC,3.3,Local
5057,Product_56,468,BrandA,3.2,Imported
5058,Product_57,556,BrandA,3.0,Imported
5059,Product_58,390,BrandC,4.2,Local
5060,Product_59,176,BrandA,3.0,Imported
5061,Product_60,458,BrandB,4.0,Imported
5062,Product_61,416,BrandA,3.2,Imported
5063,Product_62,320,BrandC,4.2,Local
5064,Product_63,693,BrandC,4.5,Imported
5065,Product_64,654,BrandB,4.4,Imported
5066,Product_65,428,BrandD,4.4,Imported
5067,Product_66,122,BrandC,3.0,Local
5068,Product_67,297,BrandB,2.7,Imported
5069,Product_68,92,BrandA,4.2,Local
5070,Product_69,426,BrandA,3.4,Imported
5071,Product_70,90,BrandB,3.6,Local
5072,Product_71,219,BrandB,2.6,Imported
5073,Product_72,261,BrandC,3.1,Imported
5074,Product_73,542,BrandA,2.6,Local
5075,Product_74,88,BrandB,4.7,Local
5076,Product_75,418,BrandA,3.1,Local
5077,Product_76,200,BrandB,3.9,Imported
5078,Product_77,160,BrandA,2.6,Imported
5079,Product_78,529,BrandD,4.2,Imported
5080,Product_79,485,BrandC,3.3,Imported
5081,Product_80,96,BrandA,4.7,Local
5082,Product_81,624,BrandD,4.7,Imported
5083,Product_82,415,BrandA,3.3,Imported
5084,Product_83,118,BrandA,4.8,Imported
5085,Product_84,348,BrandD,5.0,Imported
5086,Product_85,345,BrandA,4.6,Imported
5087,Product_86,252,BrandA,4.6,Imported
5088,Product_87,110,BrandC,3.1,Imported
5089,Product_88,363,BrandD,3.9,Local
5090,Product_89,210,BrandD,2.7,Imported
5091,Product_90,380,BrandB,2.7,Imported
5092,Product_91,577,BrandA,5.0,Imported
5093,Product_92,387,BrandC,3.3,Imported
5094,Product_93,655,BrandA,4.4,Local
5095,Product_94,353,BrandA,4.5,Local
5096,Product_95,552,BrandB,4.6,Local
5097,Product_96,699,BrandA,5.0,Local
5098,Product_97,387,BrandC,3.1,Local
5099,Product_98,599,BrandC,2.6,Local
5100,Product_99,688,BrandB,3.5,Imported
5101,Product_100,324,BrandA,2.8,Local
5102,Product_101,213,BrandC,2.6,Local
5103,Product_102,492,BrandA,3.4,Imported
5104,Product_103,368,BrandA,4.5,Local
5105,Product_104,638,BrandA,3.9,Imported
5106,Product_105,553,BrandB,3.3,Imported
5107,Product_106,436,BrandA,4.1,Local
5108,Product_107,652,BrandC,3.1,Imported
5109,Product_108,543,BrandA,2.5,Local
5110,Product_109,539,BrandC,4.4,Local
5111,Product_110,122,BrandA,4.1,Imported
5112,Product_111,558,BrandC,4.4,Imported
5113,Product_112,439,BrandC,2.6,Local
5114,Product_113,668,BrandA,4.6,Imported
5115,Product_114,344,BrandA,4.0,Imported
5116,Product_115,418,BrandC,3.9,Local
5117,Product_116,598,BrandD,4.1,Local
5118,Product_117,698,BrandB,4.7,Imported
5119,Product_118,617,BrandD,4.0,Local
5120,Product_119,236,BrandD,4.0,Local
5121,Product_120,494,BrandA,5.0,Local
5122,Product_121,619,BrandB,4.4,Local
5123,Product_122,412,BrandD,3.6,Local
5124,Product_123,172,BrandA,4.3,Local
5125,Product_124,237,BrandD,3.5,Local
5126,Product_125,469,BrandD,3.1,Imported
5127,Product_126,675,BrandA,4.0,Local
5128,Product_127,301,BrandA,4.8,Imported
5129,Product_128,668,BrandA,4.8,Imported
5130,Product_129,598,BrandB,3.4,Imported
5131,Product_130,384,BrandD,3.8,Local
5132,Product_131,141,BrandA,3.0,Local
5133,Product_132,579,BrandC,5.0,Imported
5134,Product_133,112,BrandD,5.0,Local
5135,Product_134,561,BrandC,4.1,Imported
5136,Product_135,188,BrandB,4.5,Local
5137,Product_136,234,BrandA,4.3,Local
5138,Product_137,254,BrandC,4.0,Imported
5139,Product_138,263,BrandB,2.6,Imported
5140,Product_139,305,BrandA,3.6,Imported
5141,Product_140,184,BrandC,4.2,Local
5142,Product_141,622,BrandC,4.2,Imported
5143,Product_142,137,BrandB,3.4,Local
5144,Product_143,256,BrandA,4.9,Local
5145,Product_144,178,BrandA,2.9,Local
5146,Product_145,52,BrandC,3.8,Imported
5147,Product_146,170,BrandC,4.2,Imported
5148,Product_147,434,BrandC,4.2,Imported
5149,Product_148,663,BrandA,4.1,Local
5150,Product_149,87,BrandB,3.2,Local
5151,Product_150,390,BrandB,2.9,Imported
5152,Product_151,694,BrandA,4.1,Local
5153,Product_152,70,BrandD,4.0,Local
5154,Product_153,291,BrandB,2.9,Imported
5155,Product_154,504,BrandC,4.3,Imported
5156,Product_155,670,BrandD,3.6,Imported
5157,Product_156,352,BrandD,4.2,Local
5158,Product_157,645,BrandB,4.6,Local
5159,Product_158,644,BrandD,2.9,Local
5160,Product_159,118,BrandD,2.5,Local
5161,Product_160,178,BrandB,4.4,Local
5162,Product_161,245,BrandB,4.0,Imported
5163,Product_162,189,BrandD,4.2,Local
5164,Product_163,493,BrandC,4.6,Local
5165,Product_164,332,BrandA,4.5,Local
5166,Product_165,361,BrandD,4.9,Imported
5167,Product_166,584,BrandD,3.8,Imported
5168,Product_167,326,BrandC,3.7,Imported
5169,Product_168,110,BrandD,3.5,Local
5170,Product_169,368,BrandD,2.9,Imported
5171,Product_170,101,BrandA,3.9,Imported
5172,Product_171,202,BrandA,3.2,Imported
5173,Product_172,360,BrandA,4.8,Local
5174,Product_173,593,BrandB,4.0,Imported
5175,Product_174,616,BrandB,4.0,Local
5176,Product_175,438,BrandA,3.4,Local
5177,Product_176,597,BrandA,2.6,Imported
5178,Product_177,671,BrandB,2.6,Local
5179,Product_178,226,BrandC,3.6,Imported
5180,Product_179,411,BrandD,2.7,Local
5181,Product_180,363,BrandD,4.0,Imported
5182,Product_181,146,BrandA,4.7,Imported
5183,Product_182,262,BrandC,4.7,Imported
5184,Product_183,186,BrandB,4.1,Local
5185,Product_184,55,BrandA,3.0,Imported
5186,Product_185,158,BrandC,4.7,Local
5187,Product_186,596,BrandC,4.7,Imported
5188,Product_187,88,BrandC,3.0,Local
5189,Product_188,474,BrandB,4.3,Local
5190,Product_189,679,BrandB,3.2,Imported
5191,Product_190,310,BrandD,4.5,Imported
5192,Product_191,475,BrandD,5.0,Imported
5193,Product_192,136,BrandC,2.6,Imported
5194,Product_193,514,BrandC,4.7,Imported
5195,Product_194,125,BrandB,4.1,Local
5196,Product_195,520,BrandD,4.9,Imported
5197,Product_196,463,BrandC,3.7,Imported
5198,Product_197,506,BrandD,4.6,Local
5199,Product_198,334,BrandD,2.7,Imported
5200,Product_199,288,BrandC,3.3,Imported
